Artist,minRank,Sdanceability_random,Dtfirstbestrank,Hpaudiosample,Hpch,Hpcover,Hpentry,Hpvideo,Hptitle,Svalence,Hpsong_Id
Wilson Phillips,11,0.4700,12.07.1992,http://streamd.hitparade.ch/audio/0000000/0002453.mp3,,http://streamd.hitparade.ch/cdimages/wilson_phillips-you_wont_see_me_cry_s.jpg,07.06.1992,,You Won't See Me Cry,0.12,0002453
Wilson Phillips,15,0.6790,15.07.1990,http://streamd.hitparade.ch/audio/0000000/0002129.mp3,,http://streamd.hitparade.ch/cdimages/wilson_phillips-hold_on_s.jpg,17.06.1990,http://youtu.be/uIbXvaE39wM,Hold On,0.56,0002129
William Pitt,13,0.6690,13.09.1987,http://streamd.hitparade.ch/audio/0000000/0001657.mp3,,http://streamd.hitparade.ch/cdimages/william_pitt-city_lights_s.jpg,09.08.1987,,City Lights,0.75,0001657
will.i.am feat. Eva Simons,8,0.6060,23.09.2012,http://streamd.hitparade.ch/audio/1020000/1029779.mp3,,http://streamd.hitparade.ch/cdimages/william_feat_eva_simons-this_is_love_s.jpg,22.07.2012,http://youtu.be/9I9Ar6upx34,This Is Love,0.21,1029779
Will Smith,13,0.8770,17.04.2005,http://streamd.hitparade.ch/audio/0090000/0091817.mp3,,http://streamd.hitparade.ch/cdimages/will_smith-switch_s.jpg,03.04.2005,http://youtu.be/uzUozo1628U,Switch,0.51,0091817
Will Smith,12,0.8810,12.04.1998,http://streamd.hitparade.ch/audio/0000000/0003631.mp3,,http://streamd.hitparade.ch/cdimages/will_smith-gettin_jiggy_wit_it_s.jpg,29.03.1998,http://youtu.be/3JcmQONgXJM,Gettin' Jiggy Wit It,0.86,0003631
Whitney Houston,15,0.8020,23.02.1997,http://streamd.hitparade.ch/audio/0000000/0003375.mp3,,http://streamd.hitparade.ch/cdimages/whitney_houston-step_by_step_s.jpg,02.02.1997,http://youtu.be/sWa5vE4MUpU,Step By Step,0.26,0003375
Whitney Houston,18,0.7580,24.07.1988,http://streamd.hitparade.ch/audio/0000000/0001810.mp3,,http://streamd.hitparade.ch/cdimages/whitney_houston-love_will_save_the_day_s.jpg,10.07.1988,,Love Will Save The Day,0.77,0001810
Whitney Houston,18,0.8060,02.05.1999,http://streamd.hitparade.ch/audio/0000000/0003875.mp3,,http://streamd.hitparade.ch/cdimages/whitney_houston-its_not_right_but_its_okay_s.jpg,28.03.1999,http://youtu.be/6J538b-OLRU,It's Not Right But It's Okay,0.53,0003875
Whitney Houston,18,0.6660,07.03.1993,http://streamd.hitparade.ch/audio/0000000/0002581.mp3,,http://streamd.hitparade.ch/cdimages/whitney_houston-im_every_woman_s.jpg,28.02.1993,http://youtu.be/H7_sqdkaAfo,I'm Every Woman,0.41,0002581
Whitney Houston,16,0.5500,13.09.2009,http://streamd.hitparade.ch/audio/0600000/0603062.mp3,,http://streamd.hitparade.ch/cdimages/whitney_houston-i_look_to_you_s.jpg,13.09.2009,http://youtu.be/5Pze_mdbOK8,I Look To You,0.96,0603062
Whitney Houston,11,0.8320,06.04.1986,http://streamd.hitparade.ch/audio/0000000/0001404.mp3,,http://streamd.hitparade.ch/cdimages/whitney_houston-how_will_i_know_s.jpg,23.03.1986,http://youtu.be/m3-hY-hlhBg,How Will I Know,0.93,0001404
Whitney Houston,20,0.5020,15.06.1986,http://streamd.hitparade.ch/audio/0000000/0001441.mp3,,http://streamd.hitparade.ch/cdimages/whitney_houston-greatest_love_of_all_s.jpg,01.06.1986,http://youtu.be/IYzlVDlE72w,Greatest Love Of All,0.26,0001441
Whitney Houston,13,0.6590,07.01.1996,http://streamd.hitparade.ch/audio/0000000/0003130.mp3,,http://streamd.hitparade.ch/cdimages/whitney_houston-exhale_(shoop_shoop)_s.jpg,10.12.1995,http://youtu.be/wrTuV4Szxzo,Exhale (Shoop Shoop),0.12,0003130
Whitney Houston,18,0.5400,06.09.1987,http://streamd.hitparade.ch/audio/0000000/0001666.mp3,,http://streamd.hitparade.ch/cdimages/whitney_houston-didnt_we_almost_have_it_all_s.jpg,06.09.1987,,Didn't We Almost Have It All,0.34,0001666
White Town,19,0.8150,20.04.1997,http://streamd.hitparade.ch/audio/0000000/0003405.mp3,,http://streamd.hitparade.ch/cdimages/white_town-your_woman_s.jpg,09.03.1997,,Your Woman,0.80,0003405
Whigfield,17,0.6980,20.08.1995,http://streamd.hitparade.ch/audio/0000000/0003027.mp3,,http://streamd.hitparade.ch/cdimages/whigfield-think_of_you_s.jpg,11.06.1995,http://youtu.be/QFeR33I0HPs,Think Of You,0.87,0003027
Whigfield,12,0.7000,23.06.1996,http://streamd.hitparade.ch/audio/0000000/0003242.mp3,,http://streamd.hitparade.ch/cdimages/whigfield-sexy_eyes_s.jpg,23.06.1996,http://youtu.be/86u1NuMeyhY,Sexy Eyes,0.86,0003242
Whigfield,9,0.7310,25.12.1994,http://streamd.hitparade.ch/audio/0000000/0002924.mp3,,http://streamd.hitparade.ch/cdimages/whigfield-another_day_s.jpg,25.12.1994,http://youtu.be/Oe-Jb33oI_4,Another Day,0.98,0002924
Wham!,7,0.7570,22.12.1985,http://streamd.hitparade.ch/audio/0000000/0001355.mp3,,http://streamd.hitparade.ch/cdimages/wham-im_your_man_s.jpg,08.12.1985,http://youtu.be/6W0d9xMhZbo,I'm Your Man,0.58,0001355
Wham!,6,0.7950,24.07.1983,http://streamd.hitparade.ch/audio/0000000/0000971.mp3,,http://streamd.hitparade.ch/cdimages/wham-bad_boys_s.jpg,10.07.1983,http://youtu.be/hktHI4fGydE,Bad Boys,0.86,0000971
Wet Wet Wet,12,0.2760,06.11.1994,http://streamd.hitparade.ch/audio/0000000/0002894.mp3,,http://streamd.hitparade.ch/cdimages/wet_wet_wet-goodnight_girl_94_s.jpg,06.11.1994,,Goodnight Girl '94,0.38,0002894
Westlife,18,0.1290,12.03.2006,http://streamd.hitparade.ch/audio/0150000/0153900.mp3,,http://streamd.hitparade.ch/cdimages/westlife-you_raise_me_up_s.jpg,06.11.2005,http://youtu.be/9bxc9hbwkkw,You Raise Me Up,0.18,0153900
Westlife,13,0.5900,27.05.2001,http://streamd.hitparade.ch/audio/0000000/0004681.mp3,,http://streamd.hitparade.ch/cdimages/westlife-uptown_girl_s.jpg,29.04.2001,http://youtu.be/0HTexqxo1og,Uptown Girl,0.85,0004681
Westlife,18,0.6090,27.02.2000,http://streamd.hitparade.ch/audio/0000000/0004129.mp3,,http://streamd.hitparade.ch/cdimages/westlife-i_have_a_dream__seasons_in_the_sun_s.jpg,30.01.2000,,I Have A Dream / Seasons In The Sun,0.39,0004129
