Artist,minRank,Sdanceability_random,Dtfirstbestrank,Hpaudiosample,Hpch,Hpcover,Hpentry,Hpvideo,Hptitle,Svalence,Hpsong_Id
Leona Lewis,5,0.5850,27.07.2008,http://streamd.hitparade.ch/audio/0410000/0414197.mp3,,http://streamd.hitparade.ch/cdimages/leona_lewis-better_in_time_s.jpg,01.06.2008,http://youtu.be/qSxyffSB7wA,Better In Time,0.51,0414197
Leo Sayer,2,0.7240,02.11.1980,http://streamd.hitparade.ch/audio/0000000/0000683.mp3,,http://streamd.hitparade.ch/cdimages/leo_sayer-more_than_i_can_say_s.jpg,12.10.1980,http://youtu.be/V-atwD0qZOs,More Than I Can Say,0.69,0000683
Lenny Kravitz,4,0.6770,10.02.2008,http://streamd.hitparade.ch/audio/0380000/0384175.mp3,,http://streamd.hitparade.ch/cdimages/lenny_kravitz-ill_be_waiting_s.jpg,20.01.2008,http://youtu.be/xntxoEFsqfU,I'll Be Waiting,0.58,0384175
Lennon & Maisy,2,0.6270,16.02.2014,http://streamd.hitparade.ch/audio/1240000/1247245.mp3,,http://streamd.hitparade.ch/cdimages/lennon_maisy-love_s.jpg,09.02.2014,http://youtu.be/ZHSGUAxx9MM,Love,0.44,1247245
Lena Meyer-Landrut,1,0.3640,13.06.2010,http://streamd.hitparade.ch/audio/0680000/0683457.mp3,,http://streamd.hitparade.ch/cdimages/lena_meyer-landrut-satellite_s.jpg,28.03.2010,http://youtu.be/esTVVjpTzIY,Satellite,0.95,0683457
Leila K.,4,0.7730,04.04.1993,http://streamd.hitparade.ch/audio/0000000/0002579.mp3,,http://streamd.hitparade.ch/cdimages/leila_k-open_sesame_s.jpg,21.02.1993,http://youtu.be/2GV_5dRrWH4,Open Sesame,0.69,0002579
Leif Garrett,4,0.5720,04.02.1978,http://streamd.hitparade.ch/audio/0000000/0000487.mp3,,http://streamd.hitparade.ch/cdimages/leif_garrett-surfin_usa_s.jpg,21.01.1978,,Surfin' USA,0.97,0000487
Led Zeppelin,5,0.4120,24.03.1970,http://streamd.hitparade.ch/audio/0000000/0000134.mp3,,http://streamd.hitparade.ch/cdimages/led_zeppelin-whole_lotta_love_s.jpg,10.03.1970,,Whole Lotta Love,0.42,0000134
Led Zeppelin,4,0.5740,09.02.1971,http://streamd.hitparade.ch/audio/0000000/0000177.mp3,,http://streamd.hitparade.ch/cdimages/led_zeppelin-immigrant_song_s.jpg,26.01.1971,,Immigrant Song,0.63,0000177
Leapy Lee,2,0.5610,19.11.1968,http://streamd.hitparade.ch/audio/0000000/0000058.mp3,,http://streamd.hitparade.ch/cdimages/leapy_lee-little_arrows_s.jpg,15.10.1968,,Little Arrows,0.94,0000058
LeAnn Rimes,2,0.6280,28.01.2001,http://streamd.hitparade.ch/audio/0000000/0004485.mp3,,http://streamd.hitparade.ch/cdimages/leann_rimes-cant_fight_the_moonlight_s.jpg,29.10.2000,http://youtu.be/bx3s99FNXzI,Can't Fight The Moonlight,0.60,0004485
Laurent Voulzy,3,-0.2360,03.09.1977,http://streamd.hitparade.ch/audio/0000000/0000458.mp3,,http://streamd.hitparade.ch/cdimages/laurent_voulzy-rockollection_part_i_s.jpg,16.07.1977,http://youtu.be/0-yEsAQzXrI,Rockollection Part I,-0.23,0000458
Laura Pausini & James Blunt,5,0.6330,19.04.2009,http://streamd.hitparade.ch/audio/0530000/0532088.mp3,,http://streamd.hitparade.ch/cdimages/laura_pausini_james_blunt-primavera_in_anticipo_(it_is_my_song)_s.jpg,15.02.2009,http://youtu.be/qTK0KkJnMzw,Primavera in anticipo (It Is My Song),0.36,0532088
Laura Branigan,1,0.8140,24.06.1984,http://streamd.hitparade.ch/audio/0000000/0001119.mp3,,http://streamd.hitparade.ch/cdimages/laura_branigan-self_control_s.jpg,17.06.1984,,Self Control,0.76,0001119
Laura,2,0.6450,05.12.1999,http://streamd.hitparade.ch/audio/0000000/0004048.mp3,,http://streamd.hitparade.ch/cdimages/laura-immer_wieder_s.jpg,21.11.1999,,Immer wieder,0.58,0004048
"Lasso feat. Dani, Grosha & Matete",3,-0.3930,15.10.2000,http://streamd.hitparade.ch/audio/0000000/0004427.mp3,ch,http://streamd.hitparade.ch/cdimages/lasso_feat_dani_grosha_matete-bisch_parat_s.jpg,17.09.2000,,Bisch parat?,-0.29,0004427
Las Ketchup,1,0.6060,25.08.2002,http://streamd.hitparade.ch/audio/0000000/0005263.mp3,,http://streamd.hitparade.ch/cdimages/las_ketchup-the_ketchup_song_(asereje)_s.jpg,11.08.2002,http://youtu.be/AMT698ArSfQ,The Ketchup Song (Aserejé),0.84,0005263
Lana Del Rey,2,0.3390,12.02.2012,http://streamd.hitparade.ch/audio/0860000/0867017.mp3,,http://streamd.hitparade.ch/cdimages/lana_del_rey-video_games_s.jpg,30.10.2011,http://youtu.be/HO1OV5B_JDw,Video Games,0.22,0867017
Lana Del Rey,3,0.5700,16.09.2012,http://streamd.hitparade.ch/audio/0960000/0964251.mp3,,http://streamd.hitparade.ch/cdimages/lana_del_rey-summertime_sadness_s.jpg,22.07.2012,http://youtu.be/nVjsGKrE6E8,Summertime Sadness,0.27,0964251
Lady GaGa feat. Beyoncé,4,0.8510,18.04.2010,http://streamd.hitparade.ch/audio/0640000/0646247.mp3,,http://streamd.hitparade.ch/cdimages/lady_gaga_feat_beyonce-telephone_s.jpg,28.03.2010,http://youtu.be/GQ95z6ywcBY,Telephone,0.65,0646247
Lady GaGa,1,0.8510,15.03.2009,http://streamd.hitparade.ch/audio/0500000/0500112.mp3,,http://streamd.hitparade.ch/cdimages/lady_gaga-poker_face_s.jpg,11.01.2009,http://youtu.be/bESGLojNYSo,Poker Face,0.79,0500112
Lady GaGa,4,0.7620,25.10.2009,http://streamd.hitparade.ch/audio/0490000/0499538.mp3,,http://streamd.hitparade.ch/cdimages/lady_gaga-paparazzi_s.jpg,06.09.2009,http://youtu.be/d2smz_1L2_0,Paparazzi,0.40,0499538
