Artist,minRank,Sdanceability_random,Dtfirstbestrank,Hpaudiosample,Hpch,Hpcover,Hpentry,Hpvideo,Hptitle,Svalence,Hpsong_Id
Trance Allstars,62,0.6800,28.04.2002,http://streamd.hitparade.ch/audio/0000000/0005134.mp3,,http://streamd.hitparade.ch/cdimages/trance_allstars-lost_in_love_s.jpg,21.04.2002,,Lost In Love,0.72,0005134
Train,25,0.4690,09.01.2011,http://streamd.hitparade.ch/audio/0760000/0761945.mp3,,http://streamd.hitparade.ch/cdimages/train-shake_up_christmas_s.jpg,19.12.2010,http://youtu.be/J-8VCL4uSUc,Shake Up Christmas,0.59,0761945
Train,30,0.3690,21.10.2001,http://streamd.hitparade.ch/audio/0000000/0004844.mp3,,http://streamd.hitparade.ch/cdimages/train-drops_of_jupiter_(tell_me)_s.jpg,02.09.2001,http://youtu.be/7Xf-Lesrkuc,Drops Of Jupiter (Tell Me),0.28,0004844
Train,38,0.6160,21.09.2014,http://streamd.hitparade.ch/audio/1300000/1300919.mp3,,http://streamd.hitparade.ch/cdimages/train-angel_in_blue_jeans_s.jpg,24.08.2014,http://youtu.be/POtv2wjoIHQ,Angel In Blue Jeans,0.73,1300919
Tragedie feat. Reed The Weed,35,-0.3600,30.05.2004,http://streamd.hitparade.ch/audio/0000000/0006139.mp3,,http://streamd.hitparade.ch/cdimages/tragedie_feat_reed_the_weed-je_reste_ghetto_s.jpg,30.05.2004,,Je reste ghetto,-0.37,0006139
Tragedie feat. Calvin Scott,42,-0.2120,20.02.2005,http://streamd.hitparade.ch/audio/0000000/0006454.mp3,,http://streamd.hitparade.ch/cdimages/tragedie_feat_calvin_scott-bye_bye_s.jpg,13.02.2005,http://youtu.be/D1hdDMQsow4,Bye Bye,-0.24,0006454
Tragedie,65,-0.2160,22.05.2005,http://streamd.hitparade.ch/audio/0100000/0108739.mp3,,http://streamd.hitparade.ch/cdimages/tragedie-lart_du_corps_et_du_coeur_s.jpg,15.05.2005,http://youtu.be/qPnMuMXxKsc,L'art du corps et du cur,-0.22,0108739
Tragedie,40,0.5250,25.04.2004,http://streamd.hitparade.ch/audio/0000000/0006063.mp3,,http://streamd.hitparade.ch/cdimages/tragedie-eternellement_s.jpg,04.04.2004,http://youtu.be/H3Hbcdc64OQ,Eternellement,0.12,0006063
Tracy Chapman,76,0.6640,19.03.2000,http://streamd.hitparade.ch/audio/0000000/0004188.mp3,,http://streamd.hitparade.ch/cdimages/tracy_chapman-telling_stories_s.jpg,05.03.2000,http://youtu.be/6l4X7Xt2zyA,Telling Stories,0.26,0004188
Tracy Chapman,48,0.6660,30.11.2008,http://streamd.hitparade.ch/audio/0510000/0513812.mp3,,http://streamd.hitparade.ch/cdimages/tracy_chapman-sing_for_you_s.jpg,23.11.2008,http://youtu.be/0oFAUKeoUEQ,Sing For You,0.57,0513812
TQ,77,0.5220,11.06.2000,http://streamd.hitparade.ch/audio/0000000/0004254.mp3,,http://streamd.hitparade.ch/cdimages/tq-daily_s.jpg,30.04.2000,,Daily,0.87,0004254
Toy-Box,34,0.7400,04.04.1999,http://streamd.hitparade.ch/audio/0000000/0003873.mp3,,http://streamd.hitparade.ch/cdimages/toy-box-tarzan_jane_s.jpg,21.03.1999,http://youtu.be/IlDjEd8gAkI,Tarzan & Jane,0.80,0003873
Tove Lo,49,0.6710,02.10.2016,http://streamd.hitparade.ch/audio/1570000/1576242.mp3,,http://streamd.hitparade.ch/cdimages/tove_lo-cool_girl_s.jpg,14.08.2016,http://youtu.be/XsFneCExrCQ,Cool Girl,0.24,1576242
Touché feat. Krayzee,23,-0.2740,18.10.1998,http://streamd.hitparade.ch/audio/0000000/0003765.mp3,,http://streamd.hitparade.ch/cdimages/touche_feat_krayzee-ymca_s.jpg,11.10.1998,,YMCA,-0.30,0003765
Touché,21,0.6580,14.02.1999,http://streamd.hitparade.ch/audio/0000000/0003850.mp3,,http://streamd.hitparade.ch/cdimages/touche-this_goodbye_is_not_forever_s.jpg,14.02.1999,,This Goodbye Is Not Forever,0.94,0003850
Touch El Arab,48,-0.3690,25.07.1999,http://streamd.hitparade.ch/audio/0000000/0003969.mp3,ch,http://streamd.hitparade.ch/cdimages/touch_el_arab-muhammar_(remix_1999)_s.jpg,25.07.1999,,Muhammar (Remix 1999),-0.25,0003969
Touch And Go,70,0.8150,19.12.1999,http://streamd.hitparade.ch/audio/0000000/0004077.mp3,,http://streamd.hitparade.ch/cdimages/touch_and_go-straight_to_number_one_s.jpg,19.12.1999,,Straight To... Number One,0.88,0004077
